Country,X,Y
Australia,-3.1877693001278264,2.0642294322329153
Austria,-2.0587682602619615,0.23832913165249803
Belgium,-1.280375665812509,1.073181378937964
Brazil,3.508704093760155,3.1669273516326726
Canada,-3.3143950860477833,0.951266561584012
Chile,3.9835017278044034,-0.4396909477143188
Colombia,4.968071916460261,3.2883117648658837
Costa Rica,4.451611786036975,1.799690762575383
Czech Republic,-0.9062110267098623,-1.8427039833591083
Denmark,-2.7820905594377314,-0.47455426623873226
Estonia,-0.6580541784532856,-2.347695947598202
Finland,-3.4431593563515164,-1.0283800835113561
France,-0.745529086054349,-0.12670090559974784
Germany,-2.2213549913872637,-0.2793959877086433
Greece,3.6195227883960244,-0.21858269157239527
Hungary,1.1200656732895953,-2.000461174194159
Iceland,-3.8237658988212924,1.6593420867046138
Ireland,-2.107880348142725,0.1778437136350459
Israel,-0.01609325690535712,0.38827608855569345
Italy,0.9691838253111272,0.26989873774127426
Japan,-0.8003529674165278,-2.137623698359905
Korea,0.6578510420673778,-1.811816733039734
Latvia,1.5065333246717376,-2.9783375600945825
Lithuania,0.9321643354320203,-2.314864676691291
Luxembourg,-3.125483169711661,2.955390684756881
Mexico,6.918901454207539,2.324904878763042
Netherlands,-2.907693024352628,-0.25787865767628637
New Zealand,-3.0538047827381054,2.0590518152543065
Norway,-3.3033598880647146,-0.23726787270269506
OECD - Total,-0.4085616120878088,0.321632636416921
Poland,0.434384750535813,-1.8637511128877604
Portugal,0.6627708869849449,-1.3862781342665795
Russia,3.1172541241556755,-2.7385489432356334
Slovak Republic,1.0228628410401417,-1.5157450618142922
Slovenia,-0.8640271049054443,-1.8022092065936914
South Africa,10.246623087979355,-0.7598162924883584
Spain,0.1683718113304069,0.27090035882684893
Sweden,-2.9651801154054303,-0.007376894342710613
Switzerland,-3.542133315340944,0.042331661145850456
TÃ¼rkiye,4.423282729401691,2.3326240285482576
United Kingdom,-1.9891703510698642,0.6411150847959813
United States,-3.206448853258657,2.544432673064133
